Threshold,Shoulder,Elbow,Wrist
0,0,0,0
2.5,0.0421836228287841,0.0260545905707196,0.0409731113956466
5,0.157568238213399,0.145161290322581,0.153649167733675
7.5,0.290322580645161,0.277915632754342,0.279129321382843
10,0.449131513647643,0.387096774193548,0.399487836107554
12.5,0.543424317617866,0.487593052109181,0.47247119078105
15,0.647642679900744,0.559553349875931,0.536491677336748
17.5,0.715880893300248,0.620347394540943,0.578745198463508
20,0.751861042183623,0.668734491315137,0.620998719590269
22.5,0.771712158808933,0.703473945409429,0.642765685019206
25,0.795165394402036,0.722084367245658,0.670934699103713
27.5,0.818066157760814,0.744416873449132,0.681177976952625
30,0.833746898263027,0.76302729528536,0.706786171574904
32.5,0.844913151364764,0.779156327543424,0.71830985915493
35,0.851145038167939,0.791563275434243,0.732394366197183
37.5,0.854838709677419,0.797766749379653,0.743918053777209
40,0.862282878411911,0.806451612903226,0.755441741357234
