Threshold,Shoulder,Elbow,Wrist
0,0,0,0
2.5,0.0127226463104326,0.0446650124069479,0.0476190476190476
5,0.0856079404466501,0.1712158808933,0.182312925170068
7.5,0.178660049627792,0.327543424317618,0.312925170068027
10,0.300248138957816,0.498759305210918,0.445582586427657
12.5,0.437965260545906,0.600496277915633,0.571062740076825
15,0.576923076923077,0.688585607940447,0.664532650448143
17.5,0.702233250620347,0.751861042183623,0.728553137003841
20,0.784119106699752,0.80893300248139,0.77336747759283
22.5,0.844913151364764,0.842431761786601,0.811779769526248
25,0.890818858560794,0.873449131513648,0.836107554417414
27.5,0.918114143920596,0.88833746898263,0.861715749039693
30,0.946650124069479,0.904466501240695,0.878361075544174
32.5,0.96029776674938,0.920595533498759,0.888604353393086
35,0.966501240694789,0.925558312655087,0.895006402048656
37.5,0.968982630272953,0.928039702233251,0.906530089628681
40,0.970223325062035,0.933002481389578,0.909090909090909
