Threshold,Shoulder,Elbow,Wrist
0,0,0,0
2.5,0.0127226463104326,0.0483870967741935,0.0585034013605442
5,0.0856079404466501,0.187344913151365,0.189115646258503
7.5,0.178660049627792,0.338709677419355,0.357823129251701
10,0.300248138957816,0.507444168734491,0.489116517285531
12.5,0.437965260545906,0.615384615384615,0.609475032010243
15,0.576923076923077,0.713399503722084,0.702944942381562
17.5,0.702233250620347,0.775434243176179,0.775928297055058
20,0.784119106699752,0.838709677419355,0.816901408450704
22.5,0.844913151364764,0.870967741935484,0.854033290653009
25,0.890818858560794,0.905707196029777,0.880921895006402
27.5,0.918114143920596,0.915632754342432,0.900128040973111
30,0.946650124069479,0.925558312655087,0.914212548015365
32.5,0.96029776674938,0.941687344913151,0.923175416133163
35,0.966501240694789,0.949131513647643,0.93213828425096
37.5,0.968982630272953,0.951612903225806,0.941101152368758
40,0.970223325062035,0.952853598014888,0.9449423815621
