Threshold,Shoulder,Elbow,Wrist
0,0,0,0
2.5,0.00127226463104326,0.00124069478908189,0.00272108843537415
5,0.0086848635235732,0.0127226463104326,0.00952380952380952
7.5,0.0248138957816377,0.0216284987277354,0.0136054421768707
10,0.032258064516129,0.0292620865139949,0.0217687074829932
12.5,0.0384615384615385,0.0419847328244275,0.030729833546735
15,0.0421836228287841,0.0508905852417303,0.0421768707482993
17.5,0.0508905852417303,0.0559796437659033,0.054421768707483
20,0.0687022900763359,0.0674300254452926,0.0640204865556978
22.5,0.0852417302798982,0.0737913486005089,0.0748299319727891
25,0.0928753180661578,0.0954198473282443,0.0857142857142857
27.5,0.100508905852417,0.111959287531807,0.0938775510204082
30,0.11323155216285,0.132315521628499,0.114285714285714
32.5,0.121588089330025,0.162849872773537,0.123809523809524
35,0.138957816377171,0.174300254452926,0.141496598639456
37.5,0.15136476426799,0.192111959287532,0.152380952380952
40,0.162531017369727,0.211195928753181,0.168707482993197
